WORD,RANK,FREQUENCY,LOG(RANK*FREQUENCY),LOG(TOTAL)
the,1,8472,9.044521887281242,12.394351422798255
to,2,7931,9.671681590643265,12.394351422798255
and,3,7395,10.00717166381301,12.394351422798255
of,4,6842,10.21712972665744,12.394351422798255
a,5,4664,10.057066640464429,12.394351422798255
i,6,4085,10.106836476522158,12.394351422798255
was,7,3712,10.165236242961404,12.394351422798255
her,8,3619,10.273394565243578,12.394351422798255
in,9,3529,10.36599440101149,12.394351422798255
it,10,3436,10.444648376098192,12.394351422798255
she,11,3421,10.535583457775974,12.394351422798255
not,12,3054,10.509114135566579,12.394351422798255
be,13,2915,10.542574456246129,12.394351422798255
had,14,2804,10.57785957776974,12.394351422798255
he,15,2718,10.6157017958133,12.394351422798255
that,16,2634,10.648847604543008,12.394351422798255
you,17,2545,10.67509927304084,12.394351422798255
as,18,2239,10.60415637449492,12.394351422798255
for,19,2014,10.552317052444948,12.394351422798255
but,20,1914,10.55268284556689,12.394351422798255
have,21,1905,10.596759725284224,12.394351422798255
with,22,1861,10.619911710000567,12.394351422798255
his,23,1796,10.628811464791294,12.394351422798255
is,24,1628,10.57316137691043,12.394351422798255
very,25,1620,10.60905725309463,12.394351422798255
at,26,1553,10.60604036117017,12.394351422798255
mr,27,1379,10.52495074379763,12.394351422798255
all,28,1359,10.546708924326348,12.394351422798255
so,29,1297,10.535105014302918,12.394351422798255
could,30,1281,10.556593683558889,12.394351422798255
been,31,1251,10.565685714952057,12.394351422798255
him,32,1205,10.559970748724481,12.394351422798255
would,33,1172,10.562974531603437,12.394351422798255
on,34,1079,10.510150489874295,12.394351422798255
no,35,1035,10.497504767188882,12.394351422798255
were,36,1022,10.51303570921976,12.394351422798255
by,37,983,10.50152703279139,12.394351422798255
mrs,38,978,10.523095829761203,12.394351422798255
which,39,957,10.527365037582602,12.394351422798255
they,40,956,10.551637367165338,12.394351422798255
my,41,940,10.559451941968357,12.394351422798255
any,42,852,10.485256145112684,12.394351422798255
from,43,837,10.491024186183038,12.394351422798255
do,44,818,10.491051970521008,12.394351422798255
there,45,804,10.496261758949286,12.394351422798255
must,46,795,10.506983511143426,12.394351422798255
this,47,759,10.482149379105689,12.394351422798255
emma,48,752,10.493937334857732,12.394351422798255
or,49,751,10.513225949874762,12.394351422798255
more,50,736,10.513253124157023,12.394351422798255
me,51,734,10.530334661338841,12.394351422798255
will,52,713,10.520725138995724,12.394351422798255
miss,53,712,10.538369824964098,12.394351422798255
an,54,706,10.548599284057516,12.394351422798255
what,55,697,10.554118595992994,12.394351422798255
them,56,694,10.567823651241953,12.394351422798255
such,57,682,10.568080925678013,12.394351422798255
much,58,679,10.581064138105116,12.394351422798255
if,59,668,10.581825617442366,12.394351422798255
one,60,658,10.583549493547418,12.394351422798255
than,61,658,10.600078795498629,12.394351422798255
said,62,647,10.599480679545993,12.394351422798255
are,63,598,10.536725480342165,12.394351422798255
their,64,596,10.549123750425021,12.394351422798255
when,65,585,10.545999117127494,12.394351422798255
being,66,578,10.549228610698803,12.394351422798255
should,67,556,10.525460913641549,12.394351422798255
only,68,547,10.523956507598088,12.394351422798255
little,69,537,10.520104599106125,12.394351422798255
am,70,535,10.530761988945365,12.394351422798255
think,71,532,10.539323366382959,12.394351422798255
every,72,528,10.545762402722318,12.394351422798255
never,73,500,10.505067539570582,12.394351422798255
did,74,500,10.51867319162636,12.394351422798255
well,75,498,10.528088190560963,12.394351422798255
we,76,495,10.535291102855021,12.394351422798255
might,77,491,10.540249549648204,12.394351422798255
your,78,481,10.532576096795353,12.394351422798255
who,79,479,10.541148449877937,12.394351422798255
good,80,476,10.5474444889053,12.394351422798255
how,81,462,10.530014045754177,12.394351422798255
