imdbID,Title,Awards,Awards_won,Awards_Nominated,Oscar_Won,Prime_Won,Golden_Globe_Won,BAFTA_Won,Prime_Nominated,Oscar_Nominated,Golden_Globe_Nominated,BAFTA_Nominated
tt0210930,Who Are You?,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
tt0212513,Skeletons in the Closet,1 win.,1,0,0,0,0,0,0,0,0,0
tt0235280,Cheerleader Ninjas,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0240149,The Girl from Paris,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
tt0243904,The Final Curtain,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0250224,Crazy/Beautiful,5 nominations.,0,5,0,0,0,0,0,0,0,0
tt0254099,The Anniversary Party,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
tt0258068,The Quiet American,Nominated for 1 Oscar. Another 13 wins & 13 nominations.,13,14,0,0,0,0,0,1,0,0
tt0263017,Like Cat and Mouse,5 wins & 4 nominations.,5,4,0,0,0,0,0,0,0,0
tt0272338,Punch-Drunk Love,Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.,14,35,0,0,0,0,0,0,1,0
tt0274768,Romeo,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
tt0276639,Academia de baile Gloria,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0280030,Return to Never Land,5 nominations.,0,5,0,0,0,0,0,0,0,0
tt0280477,Better Luck Tomorrow,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
tt0281447,A Grande Família,22 wins & 44 nominations.,22,44,0,0,0,0,0,0,0,0
tt0281954,El lado oscuro del corazón 2,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
tt0282171,Slap Shot 2: Breaking the Ice,1 win & 8 nominations.,1,8,0,0,0,0,0,0,0,0
tt0283111,Van Wilder: Party Liaison,2 nominations.,0,2,0,0,0,0,0,0,0,0
tt0283941,Black Box BRD,6 wins & 1 nomination.,6,1,0,0,0,0,0,0,0,0
tt0285331,24,Won 2 Golden Globes. Another 68 wins & 201 nominations.,70,201,0,0,2,0,0,0,0,0
tt0285333,Alias,Won 1 Golden Globe. Another 31 wins & 143 nominations.,32,143,0,0,1,0,0,0,0,0
tt0285351,According to Jim,Nominated for 4 Primetime Emmys. Another 16 nominations.,0,20,0,0,0,0,4,0,0,0
tt0285356,The Education of Max Bickford,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
tt0286378,A Padroeira,3 wins & 6 nominations.,3,6,0,0,0,0,0,0,0,0
tt0288739,Poker,2 wins.,2,0,0,0,0,0,0,0,0,0
tt0290015,No Regrets,6 wins & 4 nominations.,6,4,0,0,0,0,0,0,0,0
tt0291502,Swept Away,7 wins & 6 nominations.,7,6,0,0,0,0,0,0,0,0
tt0292414,McLeod's Daughters,9 wins & 30 nominations.,9,30,0,0,0,0,0,0,0,0
tt0292800,The Grim Adventures of Billy & Mandy,Won 1 Primetime Emmy. Another 1 win & 6 nominations.,2,6,0,1,0,0,0,0,0,0
tt0294362,The Big Time,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0295297,Harry Potter and the Chamber of Secrets,Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.,11,42,0,0,0,0,0,0,0,3
tt0295613,Sins of the Father,6 nominations.,0,6,0,0,0,0,0,0,0,0
tt0296307,Bachelors Walk,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
tt0297181,I Spy,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
tt0298130,The Ring,14 wins & 11 nominations.,14,11,0,0,0,0,0,0,0,0
tt0298617,2DTV,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0299547,Black and White,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
tt0303421,Ana y los 7,2 nominations.,0,2,0,0,0,0,0,0,0,0
tt0303430,Australians at War,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0
tt0303635,American Family,Nominated for 1 Golden Globe. Another 2 wins & 14 nominations.,2,15,0,0,0,0,0,0,1,0
tt0304649,The Ruby Princess Runs Away,2 wins.,2,0,0,0,0,0,0,0,0,0
tt0307716,Andy Richter Controls the Universe,Nominated for 1 Primetime Emmy. Another 1 nomination.,0,2,0,0,0,0,1,0,0,0
tt0307734,Crime and Punishment,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
tt0309122,2030 CE,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0309125,Ace Lightning,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0311087,Chechen Lullaby,2 wins.,2,0,0,0,0,0,0,0,0,0
tt0313025,30 by 30: Kid Flicks,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0313038,The Bachelor,9 wins & 8 nominations.,9,8,0,0,0,0,0,0,0,0
tt0315722,A Very British Murder,1 win.,1,0,0,0,0,0,0,0,0,0
tt0316602,The Show Must Go On,1 win.,1,0,0,0,0,0,0,0,0,0
tt0317842,Broken Wings,15 wins & 4 nominations.,15,4,0,0,0,0,0,0,0,0
tt0318038,Salvation,1 win.,1,0,0,0,0,0,0,0,0,0
tt0319935,Angelina Ballerina,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0319938,Any Time Now,3 wins & 6 nominations.,3,6,0,0,0,0,0,0,0,0
tt0320808,The Adventures of Jimmy Neutron: Boy Genius,8 wins & 8 nominations.,8,8,0,0,0,0,0,0,0,0
tt0320809,After Hours,2 nominations.,0,2,0,0,0,0,0,0,0,0
tt0324681,Adventure Inc.,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0326731,Anja,1 win.,1,0,0,0,0,0,0,0,0,0
tt0336052,The Birthday,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0336910,9 Dead Gay Guys,2 wins.,2,0,0,0,0,0,0,0,0,0
tt0337534,30 Minute Meals,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
tt0337714,Santa vs. the Snowman 3D,1 win.,1,0,0,0,0,0,0,0,0,0
tt0338434,Silent Night,4 nominations.,0,4,0,0,0,0,0,0,0,0
tt0340251,Memento Mori,4 wins.,4,0,0,0,0,0,0,0,0,0
tt0340427,The Wedding,1 win.,1,0,0,0,0,0,0,0,0,0
tt0344195,A Pequena Travessa,15 nominations.,0,15,0,0,0,0,0,0,0,0
tt0346091,Unprecedented: The 2000 Presidential Election,2 wins.,2,0,0,0,0,0,0,0,0,0
tt0351031,Happy Birthday,2 wins.,2,0,0,0,0,0,0,0,0,0
tt0354262,15 Storeys High,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0360243,Annemie Hülchrath - Der Talk,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0380083,Abschnitt 40,7 wins & 7 nominations.,7,7,0,0,0,0,0,0,0,0
tt0383070,Al rojo vivo con María Celeste,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0411465,Hannibal: The Man Who Hated Rome,1 win.,1,0,0,0,0,0,0,0,0,0
tt0439924,A Guy and a Girl,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0457440,Promise Land,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0472578,Ask Anna,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0487835,A Jóia de África,1 win.,1,0,0,0,0,0,0,0,0,0
tt0841930,La fotografia,2 wins.,2,0,0,0,0,0,0,0,0,0
tt0896680,Under Suspicion,4 wins & 9 nominations.,4,9,0,0,0,0,0,0,0,0
tt1383715,75th Annual Macy's Thanksgiving Day Parade,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt2777562,A Kalahari Family,1 win.,1,0,0,0,0,0,0,0,0,0
tt0167260,The Lord of the Rings: The Return of the King,Won 11 Oscars. Another 174 wins & 113 nominations.,185,113,11,0,0,0,0,0,0,0
tt0191133,The Fighting Temptations,4 wins & 11 nominations.,4,11,0,0,0,0,0,0,0,0
tt0285823,Once Upon a Time in Mexico,3 wins & 4 nominations.,3,4,0,0,0,0,0,0,0,0
tt0289944,Fear X,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
tt0306047,Scary Movie 3,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
tt0314197,Imagining Argentina,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0317910,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Won 1 Oscar. Another 11 wins & 14 nominations.,12,14,1,0,0,0,0,0,0,0
tt0320037,Jimmy Kimmel Live!,Won 3 Primetime Emmys. Another 44 nominations.,3,44,0,3,0,0,0,0,0,0
tt0325258,Dickie Roberts: Former Child Star,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0327437,Around the World in 80 Days,2 nominations.,0,2,0,0,0,0,0,0,0,0
tt0328034,The Kiss,1 win.,1,0,0,0,0,0,0,0,0,0
tt0329575,Seabiscuit,Nominated for 7 Oscars. Another 6 wins & 36 nominations.,6,43,0,0,0,0,0,7,0,0
tt0332375,Saved!,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
tt0337639,A Hole in One,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0338574,Alienated,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0346947,You're My Hero,2 wins.,2,0,0,0,0,0,0,0,0,0
tt0348593,The Door in the Floor,2 wins & 7 nominations.,2,7,0,0,0,0,0,0,0,0
tt0348904,A Casa das Sete Mulheres,14 wins & 22 nominations.,14,22,0,0,0,0,0,0,0,0
tt0353168,Fighter Pilot: Operation Red Flag,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0354463,Cold Turkey,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
tt0357388,Nashville Star,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0362404,All of Us,12 nominations.,0,12,0,0,0,0,0,0,0,0
tt0363307,America's Next Top Model,5 wins & 34 nominations.,5,34,0,0,0,0,0,0,0,0
tt0364146,10.5,Nominated for 1 Primetime Emmy. Another 1 win & 2 nominations.,1,3,0,0,0,0,1,0,0,0
tt0365974,After the Game,9 nominations.,0,9,0,0,0,0,0,0,0,0
tt0367273,Agora É Que São Elas,8 nominations.,0,8,0,0,0,0,0,0,0,0
tt0367276,All About the Andersons,2 nominations.,0,2,0,0,0,0,0,0,0,0
tt0367298,The Brotherhood of Poland; New Hampshire,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0367854,The Hollow,2 nominations.,0,2,0,0,0,0,0,0,0,0
