DATE,FREQUENCY
 27 Nov 2001 ,505
 22 Oct 2001 ,452
 29 Oct 2001 ,451
 25 Oct 2001 ,416
 24 Oct 2001 ,413
 26 Oct 2001 ,406
 26 Nov 2001 ,403
 14 Nov 2001 ,395
 13 Nov 2001 ,385
 1 Oct 2001 ,380
 30 Oct 2001 ,378
 15 Oct 2001 ,377
 5 Nov 2001 ,376
 6 Nov 2001 ,361
 19 Nov 2001 ,360
 16 Oct 2001 ,346
 8 Oct 2001 ,343
 15 Nov 2001 ,342
 31 Oct 2001 ,339
 2 Oct 2001 ,335
 9 Oct 2001 ,328
 23 Oct 2001 ,327
 7 Nov 2001 ,324
 27 Sep 2001 ,309
 2 Nov 2001 ,309
 17 Oct 2001 ,307
 11 Oct 2001 ,305
 20 Nov 2001 ,301
 12 Nov 2001 ,300
 10 Oct 2001 ,295
 18 Oct 2001 ,292
 3 Oct 2001 ,291
 8 Nov 2001 ,286
 1 Nov 2001 ,284
 26 Sep 2001 ,262
 9 Nov 2001 ,259
 19 Oct 2001 ,258
 25 Sep 2001 ,255
 19 Sep 2001 ,246
 12 Oct 2001 ,238
 21 Nov 2001 ,235
 29 Jan 2002 ,227
 18 Sep 2001 ,225
 4 Oct 2001 ,224
 16 Nov 2001 ,216
 28 Sep 2001 ,214
 29 Nov 2001 ,209
 5 Oct 2001 ,203
 28 Nov 2001 ,201
 12 Dec 2001 ,198
 17 Sep 2001 ,190
 5 Feb 2002 ,190
 28 Aug 2001 ,189
 4 Dec 2001 ,188
 31 Jan 2002 ,188
 30 Nov 2001 ,185
 19 Dec 2001 ,181
 27 Aug 2001 ,179
 13 Aug 2001 ,178
 24 Sep 2001 ,178
 10 Jan 2002 ,176
 13 Dec 2001 ,175
 7 Jan 2002 ,174
 14 Jan 2002 ,174
 30 Jan 2002 ,171
 11 Dec 2001 ,171
 17 Dec 2001 ,170
 20 Aug 2001 ,168
 1 Feb 2002 ,168
 6 Feb 2002 ,167
 22 Jan 2002 ,164
 4 Jun 2001 ,163
 5 Dec 2001 ,163
 10 Sep 2001 ,162
 28 Jan 2002 ,161
 9 Jan 2002 ,159
 2 Jan 2002 ,159
 4 Sep 2001 ,157
 5 Jun 2001 ,156
 14 Aug 2001 ,155
 3 Dec 2001 ,155
 30 Jul 2001 ,154
 4 Feb 2002 ,154
 10 Dec 2001 ,153
 30 Aug 2001 ,152
 23 Aug 2001 ,152
 3 Jan 2002 ,145
 29 May 2001 ,145
 6 Dec 2001 ,145
 9 Aug 2001 ,145
 30 Apr 2001 ,144
 21 Sep 2001 ,144
 21 Aug 2001 ,144
 24 Jan 2002 ,144
 20 Sep 2001 ,141
 21 May 2001 ,140
 22 May 2001 ,139
 18 Jan 2002 ,138
 6 Aug 2001 ,137
 4 Jan 2002 ,136
 5 Sep 2001 ,136
 14 Sep 2001 ,135
 24 May 2001 ,132
 7 Aug 2001 ,132
 6 Sep 2001 ,131
 8 Jan 2002 ,130
 24 Aug 2001 ,129
 13 Sep 2001 ,128
 16 Jan 2002 ,128
 7 Jun 2001 ,128
 29 Aug 2001 ,127
 1 May 2001 ,127
 12 Sep 2001 ,122
 2 May 2001 ,122
 23 May 2001 ,122
 14 May 2001 ,121
 15 Jan 2002 ,121
 11 Jan 2002 ,120
 14 Dec 2001 ,120
 25 May 2001 ,119
 23 Jul 2001 ,118
 10 May 2001 ,117
 22 Aug 2001 ,117
 7 May 2001 ,113
 11 Jul 2001 ,112
 16 May 2001 ,112
 24 Apr 2001 ,110
 7 Dec 2001 ,109
 20 Dec 2001 ,108
 17 Jan 2002 ,108
 11 May 2001 ,108
 19 Apr 2001 ,106
 8 May 2001 ,105
 2 Jul 2001 ,105
 10 Jul 2001 ,105
 31 May 2001 ,105
 15 Aug 2001 ,104
 23 Jan 2002 ,104
 10 Aug 2001 ,104
 6 Jun 2001 ,104
 30 May 2001 ,103
 23 Apr 2001 ,102
 17 May 2001 ,102
 31 Jul 2001 ,102
 1 Aug 2001 ,100
 15 May 2001 ,99
 26 Jul 2001 ,99
 9 May 2001 ,96
 20 Jul 2001 ,96
 25 Jan 2002 ,95
 8 Jun 2001 ,94
 24 Jul 2001 ,93
 1 Jun 2001 ,93
 2 Aug 2001 ,93
 19 Jul 2001 ,92
 31 Aug 2001 ,91
 27 Jul 2001 ,91
 8 Aug 2001 ,89
 25 Jul 2001 ,88
 25 Feb 2002 ,88
 16 Jul 2001 ,87
 3 Jul 2001 ,87
 26 Jun 2001 ,86
 28 Jun 2001 ,86
 4 May 2001 ,85
 12 Jul 2001 ,84
 31 Dec 2001 ,84
 19 Jun 2001 ,83
 25 Jun 2001 ,83
 18 Jun 2001 ,82
 9 Jul 2001 ,82
 27 Apr 2001 ,81
 25 Apr 2001 ,80
 17 Apr 2001 ,80
 18 Jul 2001 ,79
 21 Dec 2001 ,77
 7 Sep 2001 ,76
 13 Jun 2001 ,75
 25 Mar 2002 ,74
 17 Jul 2001 ,74
 18 Apr 2001 ,73
 16 Aug 2001 ,73
