WORD,FREQUENCY
subject,93401
message,58053
sent,53770
original,51904
date,42368
items,38861
pm,32748
enron,28634
please,25165
would,21407
pdt,21365
cc,21099
thanks,20430
know,18922
may,18646
pst,18059
fw,17560
john,16997
october,16778
get,14625
gas,13018
monday,12957
need,12517
tuesday,12508
thursday,12265
friday,11764
let,11696
new,11584
time,11377
mark,11367
wednesday,11312
chris,11087
like,11063
jeff,11007
november,10948
j,10333
call,10226
james,10135
power,10016
one,9903
intended,9781
file,9483
meeting,9468
oct,9162
energy,9148
us,9056
kevin,8976
mon,8956
corp,8826
recipient,8739
